file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\lucas\OneDrive\햞ea de Trabalho\lab-06\esProc\src\main\java\com\scudata\ide\spl\dialog\DialogExecCmd.java,com.scudata.ide.spl.dialog.DialogExecCmd,class,9,13,4,9,21,2,0,43,15,0.8541667,0.16666667,0.16666667,6,0,2,2,2,0,4,0,0,0,8,1,0,8,0,0,5,0,11,187,6,1,2,2,1,15,18,26,1,25,3,4,0,0,81,1,0
C:\Users\lucas\OneDrive\햞ea de Trabalho\lab-06\esProc\src\main\java\com\scudata\ide\spl\dialog\DialogExtLibs.java,com.scudata.ide.spl.dialog.DialogExtLibs$Anonymous2,anonymous,1,1,0,1,2,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,0,0,0,0,0,0,1,0,0,0,10,-1,0
C:\Users\lucas\OneDrive\햞ea de Trabalho\lab-06\esProc\src\main\java\com\scudata\ide\spl\dialog\DialogExtLibs.java,com.scudata.ide.spl.dialog.DialogExtLibs$Anonymous1,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
C:\Users\lucas\OneDrive\햞ea de Trabalho\lab-06\esProc\src\main\java\com\scudata\ide\spl\dialog\DialogExtLibs.java,com.scudata.ide.spl.dialog.DialogExtLibs,class,7,12,5,7,44,6,0,66,49,0.8214286,0.14285715,0.2857143,14,0,7,7,0,0,7,0,0,1,12,1,0,12,0,0,1,0,6,226,11,6,7,3,0,14,12,40,1,36,4,3,0,0,108,1,0
C:\Users\lucas\OneDrive\햞ea de Trabalho\lab-06\esProc\src\main\java\com\scudata\ide\spl\dialog\DialogExtLibs.java,com.scudata.ide.spl.dialog.DialogExtLibs$Anonymous3,anonymous,1,1,0,1,6,1,0,8,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,2,0,0,0,0,5,0,3,2,0,0,0,16,-1,0
C:\Users\lucas\OneDrive\햞ea de Trabalho\lab-06\esProc\src\main\java\com\scudata\ide\spl\dialog\DialogFTP.java,com.scudata.ide.spl.dialog.DialogFTP_this_windowAdapter,class,1,2,1,1,2,2,0,1,0,0.0,1.0,1.0,2,0,1,0,0,1,2,0,0,0,1,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,1,0,1,0,0,0,0,12,0,0
C:\Users\lucas\OneDrive\햞ea de Trabalho\lab-06\esProc\src\main\java\com\scudata\ide\spl\dialog\DialogFTP.java,com.scudata.ide.spl.dialog.DialogFTP$Anonymous1,anonymous,1,1,0,1,2,1,0,1,0,1.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,6,0,0,1,0,0,0,1,1,0,1,1,0,0,0,12,-1,0
C:\Users\lucas\OneDrive\햞ea de Trabalho\lab-06\esProc\src\main\java\com\scudata\ide\spl\dialog\DialogFTP.java,com.scudata.ide.spl.dialog.DialogFTP,class,15,18,3,15,45,6,0,68,30,0.7869822,0.2,0.4,13,0,5,7,0,1,6,0,0,0,13,1,0,13,0,0,1,0,5,258,3,4,11,6,1,32,17,75,0,51,4,1,0,0,129,1,0
C:\Users\lucas\OneDrive\햞ea de Trabalho\lab-06\esProc\src\main\java\com\scudata\ide\spl\dialog\DialogHostManager.java,com.scudata.ide.spl.dialog.DialogHostManager$Anonymous1,anonymous,0,0,0,0,5,1,0,1,0,1.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,13,0,0,0,0,0,0,1,1,0,1,1,0,0,0,13,-1,0
C:\Users\lucas\OneDrive\햞ea de Trabalho\lab-06\esProc\src\main\java\com\scudata\ide\spl\dialog\DialogHostManager.java,com.scudata.ide.spl.dialog.DialogHostManager,class,9,12,3,9,32,6,0,50,4,0.7552083,0.33333334,0.6666667,8,0,5,2,0,1,6,0,0,0,24,1,0,24,0,0,15,0,3,183,7,3,8,2,1,30,20,44,3,37,5,1,0,0,94,1,0
C:\Users\lucas\OneDrive\햞ea de Trabalho\lab-06\esProc\src\main\java\com\scudata\ide\spl\dialog\DialogHostManager.java,com.scudata.ide.spl.dialog.DialogHostManager_this_windowAdapter,class,1,2,1,1,2,2,0,1,0,0.0,1.0,1.0,2,0,1,0,0,1,2,0,0,0,1,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,1,0,1,0,0,0,0,11,0,0
C:\Users\lucas\OneDrive\햞ea de Trabalho\lab-06\esProc\src\main\java\com\scudata\ide\spl\dialog\DialogInputPort.java,com.scudata.ide.spl.dialog.DialogInputPort_this_windowAdapter,class,1,2,1,1,2,2,0,1,0,0.0,1.0,1.0,2,0,1,0,0,1,2,0,0,0,1,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,1,0,1,0,0,0,0,11,0,0
C:\Users\lucas\OneDrive\햞ea de Trabalho\lab-06\esProc\src\main\java\com\scudata\ide\spl\dialog\DialogInputPort.java,com.scudata.ide.spl.dialog.DialogInputPort_jBOK_actionAdapter,class,1,2,1,1,2,1,0,1,0,0.0,1.0,1.0,2,0,1,0,0,1,2,0,0,0,1,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,1,0,1,0,0,0,0,14,0,0
C:\Users\lucas\OneDrive\햞ea de Trabalho\lab-06\esProc\src\main\java\com\scudata\ide\spl\dialog\DialogInputPort.java,com.scudata.ide.spl.dialog.DialogInputPort,class,9,13,4,9,19,6,0,51,22,0.8086421,0.1,0.1,9,0,2,4,0,3,5,0,0,0,18,1,0,3,0,15,1,0,2,142,4,1,2,4,2,13,26,33,1,27,3,0,0,0,99,1,0
C:\Users\lucas\OneDrive\햞ea de Trabalho\lab-06\esProc\src\main\java\com\scudata\ide\spl\dialog\DialogInputPort.java,com.scudata.ide.spl.dialog.DialogInputPort_jBCancel_actionAdapter,class,1,2,1,1,2,1,0,1,0,0.0,1.0,1.0,2,0,1,0,0,1,2,0,0,0,1,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,1,0,1,0,0,0,0,13,0,0
C:\Users\lucas\OneDrive\햞ea de Trabalho\lab-06\esProc\src\main\java\com\scudata\ide\spl\dialog\DialogOdbcConfig.java,com.scudata.ide.spl.dialog.DialogOdbcConfig,class,11,16,5,11,35,6,0,85,54,0.8782049,0.0952381,0.0952381,13,0,2,6,0,5,7,0,0,0,36,1,0,29,0,7,11,0,2,276,6,5,4,5,4,29,72,77,6,67,3,2,0,0,155,1,0
C:\Users\lucas\OneDrive\햞ea de Trabalho\lab-06\esProc\src\main\java\com\scudata\ide\spl\dialog\DialogOdbcConfig.java,com.scudata.ide.spl.dialog.DialogOdbcConfig_jBOK_actionAdapter,class,1,2,1,1,2,1,0,1,0,0.0,1.0,1.0,2,0,1,0,0,1,2,0,0,0,1,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,1,0,1,0,0,0,0,14,0,0
C:\Users\lucas\OneDrive\햞ea de Trabalho\lab-06\esProc\src\main\java\com\scudata\ide\spl\dialog\DialogOdbcConfig.java,com.scudata.ide.spl.dialog.DialogOdbcConfig_jBCancel_actionAdapter,class,1,2,1,1,2,1,0,1,0,0.0,1.0,1.0,2,0,1,0,0,1,2,0,0,0,1,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,1,0,1,0,0,0,0,13,0,0
C:\Users\lucas\OneDrive\햞ea de Trabalho\lab-06\esProc\src\main\java\com\scudata\ide\spl\dialog\DialogOdbcConfig.java,com.scudata.ide.spl.dialog.DialogOdbcConfig$Anonymous1,anonymous,1,1,0,1,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,1,1,0,1,0,0,0,0,9,-1,0
C:\Users\lucas\OneDrive\햞ea de Trabalho\lab-06\esProc\src\main\java\com\scudata\ide\spl\dialog\DialogOdbcConfig.java,com.scudata.ide.spl.dialog.DialogOdbcConfig_this_windowAdapter,class,1,2,1,1,2,2,0,1,0,0.0,1.0,1.0,2,0,1,0,0,1,2,0,0,0,1,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,1,0,1,0,0,0,0,11,0,0
C:\Users\lucas\OneDrive\햞ea de Trabalho\lab-06\esProc\src\main\java\com\scudata\ide\spl\dialog\DialogOdbcConfig.java,com.scudata.ide.spl.dialog.DialogOdbcConfig$Anonymous2,anonymous,0,0,0,0,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,0
C:\Users\lucas\OneDrive\햞ea de Trabalho\lab-06\esProc\src\main\java\com\scudata\ide\spl\dialog\DialogOptionPaste.java,com.scudata.ide.spl.dialog.DialogOptionPaste_jBCancel_actionAdapter,class,1,2,1,1,2,1,0,1,0,0.0,1.0,1.0,2,0,1,0,0,1,2,0,0,0,1,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,1,0,1,0,0,0,0,13,0,0
C:\Users\lucas\OneDrive\햞ea de Trabalho\lab-06\esProc\src\main\java\com\scudata\ide\spl\dialog\DialogOptionPaste.java,com.scudata.ide.spl.dialog.DialogOptionPaste,class,7,11,4,7,14,6,0,28,29,0.7727272,0.04761905,0.04761905,10,0,4,3,0,3,7,0,0,0,11,1,0,11,0,0,1,0,2,119,6,0,0,1,0,18,12,21,0,20,1,0,0,0,83,1,0
C:\Users\lucas\OneDrive\햞ea de Trabalho\lab-06\esProc\src\main\java\com\scudata\ide\spl\dialog\DialogOptionPaste.java,com.scudata.ide.spl.dialog.DialogOptionPaste_this_windowAdapter,class,1,2,1,1,2,2,0,1,0,0.0,1.0,1.0,2,0,1,0,0,1,2,0,0,0,1,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,1,0,1,0,0,0,0,11,0,0
