number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
2947,2021-03-23T11:03:45Z,2021-03-23T23:19:20Z,2021-03-23T23:19:21Z,1,12,12,"Bumps @typescript-eslint/eslint-plugin from 4.18.0 to 4.19.0.

Release notes
Sourced from @​typescript-eslint/eslint-plugin's releases.

v4.19.0
4.19.0 (2021-03-22)
Bug Fixes

eslint-plugin: [member-delimiter-style] correct invalid fix for multiline with params on the same line (#3177) (7ad343b)
eslint-plugin: [promise-function-async] bad fixer with computed and literal methods (#3163) (e3a3ea0)
typescript-estree: [ts 4.2] add support for import type equal declaration (#3189) (6a25faf)

Features

eslint-plugin: [object-curly-spacing] support MappedType (#3176) (0557a43)
eslint-plugin: [unbound-method] improve error message (#3203) (5cc5d2e), closes #3201




Changelog
Sourced from @​typescript-eslint/eslint-plugin's changelog.

4.19.0 (2021-03-22)
Bug Fixes

eslint-plugin: [member-delimiter-style] correct invalid fix for multiline with params on the same line (#3177) (7ad343b)
eslint-plugin: [promise-function-async] bad fixer with computed and literal methods (#3163) (e3a3ea0)

Features

eslint-plugin: [object-curly-spacing] support MappedType (#3176) (0557a43)
eslint-plugin: [unbound-method] improve error message (#3203) (5cc5d2e), closes #3201




Commits

e823919 chore: publish v4.19.0
7ad343b fix(eslint-plugin): [member-delimiter-style] correct invalid fix for multilin...
5cc5d2e feat(eslint-plugin): [unbound-method] improve error message (#3203)
0557a43 feat(eslint-plugin): [object-curly-spacing] support MappedType (#3176)
e3a3ea0 fix(eslint-plugin): [promise-function-async] bad fixer with computed and lite...
56af989 refactor(eslint-plugin): [no-floating-promises] update code to use AST instea...
6703df1 docs(eslint-plugin): [naming-convention] clarify literal regex notation vs. a...
9ed3c50 refactor(eslint-plugin): use direct ts type guards instead of tsutils (#3193)
See full diff in compare view




Dependabot will resolve any conflicts with this PR as long as you don't alter it yourself. You can also trigger a rebase manually by commenting @dependabot rebase.


Dependabot commands and options

You can trigger Dependabot actions by commenting on this PR:

@dependabot rebase will rebase this PR
@dependabot recreate will recreate this PR, overwriting any edits that have been made to it
@dependabot merge will merge this PR after your CI passes on it
@dependabot squash and merge will squash and merge this PR after your CI passes on it
@dependabot cancel merge will cancel a previously requested merge and block automerging
@dependabot reopen will reopen this PR if it is closed
@dependabot close will close this PR and stop Dependabot recreating it. You can achieve the same result by closing it manually
@dependabot ignore this major version will close this PR and stop Dependabot creating any more for this major version (unless you reopen the PR or upgrade to it yourself)
@dependabot ignore this minor version will close this PR and stop Dependabot creating any more for this minor version (unless you reopen the PR or upgrade to it yourself)
@dependabot ignore this dependency will close this PR and stop Dependabot creating any more for this dependency (unless you reopen the PR or upgrade to it yourself)",1,1
2948,2021-03-23T11:04:07Z,2021-03-23T22:05:03Z,2021-03-23T22:05:03Z,1,40,6,"Bumps @typescript-eslint/parser from 4.18.0 to 4.19.0.

Release notes
Sourced from @​typescript-eslint/parser's releases.

v4.19.0
4.19.0 (2021-03-22)
Bug Fixes

eslint-plugin: [member-delimiter-style] correct invalid fix for multiline with params on the same line (#3177) (7ad343b)
eslint-plugin: [promise-function-async] bad fixer with computed and literal methods (#3163) (e3a3ea0)
typescript-estree: [ts 4.2] add support for import type equal declaration (#3189) (6a25faf)

Features

eslint-plugin: [object-curly-spacing] support MappedType (#3176) (0557a43)
eslint-plugin: [unbound-method] improve error message (#3203) (5cc5d2e), closes #3201




Changelog
Sourced from @​typescript-eslint/parser's changelog.

4.19.0 (2021-03-22)
Note: Version bump only for package @typescript-eslint/parser



Commits

e823919 chore: publish v4.19.0
See full diff in compare view




Dependabot will resolve any conflicts with this PR as long as you don't alter it yourself. You can also trigger a rebase manually by commenting @dependabot rebase.


Dependabot commands and options

You can trigger Dependabot actions by commenting on this PR:

@dependabot rebase will rebase this PR
@dependabot recreate will recreate this PR, overwriting any edits that have been made to it
@dependabot merge will merge this PR after your CI passes on it
@dependabot squash and merge will squash and merge this PR after your CI passes on it
@dependabot cancel merge will cancel a previously requested merge and block automerging
@dependabot reopen will reopen this PR if it is closed
@dependabot close will close this PR and stop Dependabot recreating it. You can achieve the same result by closing it manually
@dependabot ignore this major version will close this PR and stop Dependabot creating any more for this major version (unless you reopen the PR or upgrade to it yourself)
@dependabot ignore this minor version will close this PR and stop Dependabot creating any more for this minor version (unless you reopen the PR or upgrade to it yourself)
@dependabot ignore this dependency will close this PR and stop Dependabot creating any more for this dependency (unless you reopen the PR or upgrade to it yourself)",1,2
2952,2021-03-23T18:46:49Z,2021-03-25T17:31:52Z,2021-03-25T17:31:52Z,5,127,18,"This PR adds a new script called release:prep to help with the release process by asking for the new version and then automating the following steps:

Update in package.json
Update in ./docs/install.md
Update in ./ci/helm-chart/README.md
Remember to update the chart version as well on top of appVersion in Chart.yaml.
Update all values mentioning the version
Update the code coverage badge (see here for instructions)
Update the docs badge in ./README.md

Demo

  
    
    

    Screen.Recording.2021-03-23.at.11.41.06.AM.mov
    
  

  

  


TODOS

 check if dry_run works with CMD=""echo""
 fix DRY_RUN initialized at top
 refactor git check branch and push upstream
 fix git add mistake",3,0
2953,2021-03-23T21:24:40Z,2021-03-25T22:44:25Z,2021-03-25T22:44:25Z,7,17,17,"This PR is to generate a new release of code-server at 3.9.2
Screenshot

  
    
    

    Screen.Recording.2021-03-25.at.10.03.39.AM.mov
    
  

  

  


TODOs

 test locally
 update release notes
 upload assets to draft release
 double-check github release tag is the commit with artifacts
 open issue for macOS CI issue #2970
 build macOS package locally and manually upload
 test packages
 update release template (based on asher's suggestions) (separate PR) #2969
 update lib.sh (separate PR) #2968
 publish release
 merge PR
 update the AUR package coder/code-server-aur#6
 update the homebrew package Homebrew/homebrew-core#73986",2,0
2961,2021-03-24T21:05:26Z,2021-03-25T16:50:59Z,2021-03-25T16:50:59Z,9,155,220,"native-keymap is only used in the electron process, so we don't need it.
This allows us to drop our libx11 and libxkbfile build dependencies.",2,1
2967,2021-03-25T18:10:06Z,2021-03-31T15:28:56Z,2021-03-31T15:28:56Z,2,49,5,"This PR helps automate how we handle extension request issues. It also updates the docs for installing OpenVSX extensions via the command line.
TODOS

 refactor docs based on feedback",3,1
2968,2021-03-25T21:28:49Z,2021-03-26T00:25:25Z,2021-03-26T00:25:25Z,1,11,1,"This PR refactors lib.sh to catch and report an error getting the get_artifacts_url.
It was noticed while working on a release in #2953.",2,0
2969,2021-03-25T22:08:26Z,2021-03-27T00:02:47Z,2021-03-27T00:02:48Z,2,15,7,This PR updates the release_template.md and the release notes based on our latest release.,2,0
2990,2021-03-29T11:03:09Z,2021-03-29T16:11:05Z,2021-03-29T16:11:05Z,1,3,3,"Bumps eslint from 7.22.0 to 7.23.0.

Release notes
Sourced from eslint's releases.

v7.23.0

687ccae Update: add option ""allowInParentheses"" to no-sequences (fixes #14197) (#14199) (Daniel Rentz)
dbf2529 Sponsors: Sync README with website (ESLint Jenkins)
4bdf2c1 Sponsors: Sync README with website (ESLint Jenkins)
49d1697 Chore: Upgrade eslint-plugin-jsdoc to v25 and remove --legacy-peer-deps (#14244) (Brandon Mills)
43f1685 Update: --quiet should not supress --max-warnings (fixes #14202) (#14242) (Milos Djermanovic)
909c727 Docs: Add valid example that shows vars in a block scope (#14230) (Ed S)
28583eb Fix: no-mixed-operators false positives with ? : (fixes #14223) (#14226) (Milos Djermanovic)
a99eb2d Fix: Clarify line breaks in object-curly-newline (fixes #14024) (#14063) (armin yahya)
8984c91 Update: eslint --env-info output os info (#14059) (薛定谔的猫)
2a79306 Sponsors: Sync README with website (ESLint Jenkins)
ebd7026 Docs: Fix typo (#14225) (Greg Finley)
a2013fc Sponsors: Sync README with website (ESLint Jenkins)




Changelog
Sourced from eslint's changelog.

v7.23.0 - March 26, 2021

687ccae Update: add option ""allowInParentheses"" to no-sequences (fixes #14197) (#14199) (Daniel Rentz)
dbf2529 Sponsors: Sync README with website (ESLint Jenkins)
4bdf2c1 Sponsors: Sync README with website (ESLint Jenkins)
49d1697 Chore: Upgrade eslint-plugin-jsdoc to v25 and remove --legacy-peer-deps (#14244) (Brandon Mills)
43f1685 Update: --quiet should not supress --max-warnings (fixes #14202) (#14242) (Milos Djermanovic)
909c727 Docs: Add valid example that shows vars in a block scope (#14230) (Ed S)
28583eb Fix: no-mixed-operators false positives with ? : (fixes #14223) (#14226) (Milos Djermanovic)
a99eb2d Fix: Clarify line breaks in object-curly-newline (fixes #14024) (#14063) (armin yahya)
8984c91 Update: eslint --env-info output os info (#14059) (薛定谔的猫)
2a79306 Sponsors: Sync README with website (ESLint Jenkins)
ebd7026 Docs: Fix typo (#14225) (Greg Finley)
a2013fc Sponsors: Sync README with website (ESLint Jenkins)




Commits

cd2e584 7.23.0
11bdeab Build: changelog update for 7.23.0
687ccae Update: add option ""allowInParentheses"" to no-sequences (fixes #14197) (#14199)
dbf2529 Sponsors: Sync README with website
4bdf2c1 Sponsors: Sync README with website
49d1697 Chore: Upgrade eslint-plugin-jsdoc to v25 and remove --legacy-peer-deps (#14244)
43f1685 Update: --quiet should not supress --max-warnings (fixes #14202) (#14242)
909c727 Docs: Add valid example that shows vars in a block scope (#14230)
28583eb Fix: no-mixed-operators false positives with ? : (fixes #14223) (#14226)
a99eb2d Fix: Clarify line breaks in object-curly-newline (fixes #14024) (#14063)
Additional commits viewable in compare view




Dependabot will resolve any conflicts with this PR as long as you don't alter it yourself. You can also trigger a rebase manually by commenting @dependabot rebase.


Dependabot commands and options

You can trigger Dependabot actions by commenting on this PR:

@dependabot rebase will rebase this PR
@dependabot recreate will recreate this PR, overwriting any edits that have been made to it
@dependabot merge will merge this PR after your CI passes on it
@dependabot squash and merge will squash and merge this PR after your CI passes on it
@dependabot cancel merge will cancel a previously requested merge and block automerging
@dependabot reopen will reopen this PR if it is closed
@dependabot close will close this PR and stop Dependabot recreating it. You can achieve the same result by closing it manually
@dependabot ignore this major version will close this PR and stop Dependabot creating any more for this major version (unless you reopen the PR or upgrade to it yourself)
@dependabot ignore this minor version will close this PR and stop Dependabot creating any more for this minor version (unless you reopen the PR or upgrade to it yourself)
@dependabot ignore this dependency will close this PR and stop Dependabot creating any more for this dependency (unless you reopen the PR or upgrade to it yourself)",1,0
2999,2021-03-29T21:13:06Z,2021-03-31T15:24:56Z,2021-03-31T15:24:56Z,3,12,6,"This PR fixes how we spawn a child_process and bumps ts-node.
(H/T to @cspotcode for identifying this after we opened an issue in ts-node)
Related:

TypeStrong/ts-node#1283 (comment)
Reverts #2962
#2965",2,1
