reviews,num_arquivos,num_linhas_adicionadas,num_linhas_deletadas,tempo_analise,num_caracteres_descricao,num_participantes,num_comentarios,was_merged
1,1,6,1,10184,0,2,0,True
1,1,19,1,81256,207,2,0,True
1,1,9,1,68028,59,2,0,True
1,1,8,1,62443,142,2,0,True
1,1,1,0,48903,27,2,0,True
1,1,9,1,38636,116,2,0,True
1,1,7,1,61572,0,2,0,True
1,1,6,1,15777,23,2,0,True
1,2,19,2,68864,0,2,1,True
2,51,107,105,65757,122,2,0,True
1,1,9,1,58903,0,2,0,True
1,23,45,43,55577,65,3,1,True
1,1,11,1,44283,90,2,0,True
1,1,7,1,68246,61,2,1,False
1,1,6,1,31458,156,2,0,True
1,1,6,1,30083,135,2,0,True
1,1,1,0,28212,80,2,0,True
1,1,10,1,57583,104,2,0,True
1,1,11,1,16760,94,2,0,True
1,1,11,1,12480,125,2,0,True
2,1,7,1,63295,44,2,0,True
1,1,6,1,62115,24,2,0,True
1,1,6,1,48623,70,2,0,True
1,1,7,1,48124,48,2,0,True
1,1,15,1,47668,97,2,0,True
1,1,25,1,47279,35,2,0,True
1,1,7,1,58905,37,2,0,True
6,8,69,7,43827,0,2,0,True
2,2,19,2,64043,122,2,0,True
1,1,9,1,28656,2,2,0,True
1,1,9,1,5930,94,2,0,True
1,1,9,1,26912,77,2,0,True
1,1,8,1,28239,0,2,1,True
1,1,6,1,12350,0,2,0,True
1,1,3,1,4203,35,2,0,True
1,1,8,1,17310,0,2,0,True
1,1,7,1,55948,69,2,0,True
1,1,9,1,75821,65,2,0,True
2,1,6,1,18346,57,2,0,True
1,1,10,1,18690,55,2,0,True
1,1,7,1,18244,0,2,0,True
1,1,7,1,42154,0,3,0,False
1,1,7,1,33322,46,2,0,True
1,1,8,1,67394,0,2,0,True
1,1,3,0,33947,0,2,0,False
1,1,1,1,33364,11,2,0,True
1,1,7,1,19446,53,2,0,True
1,4,30,4,12658,0,2,0,True
1,4,38,3,65810,79,2,0,True
1,1,10,1,51247,0,2,0,True
1,1,13,4,6218,0,4,2,True
2,1,16,0,71203,19,4,2,False
