name_with_owner,stars,created_at
spacedriveapp/spacedrive,28750,2021-09-27
doocs/leetcode,28741,2018-09-16
tatsu-lab/stanford_alpaca,28712,2023-03-10
donnemartin/interactive-coding-challenges,28697,2015-04-28
portainer/portainer,28668,2016-05-19
explosion/spaCy,28661,2014-07-03
coolsnowwolf/lede,28648,2017-09-06
karanpratapsingh/system-design,28600,2022-08-15
SortableJS/Sortable,28592,2013-12-19
facebookresearch/detectron2,28579,2019-09-05
shengxinjing/programmer-job-blacklist,28502,2016-06-25
gradio-app/gradio,28483,2018-12-19
SerenityOS/serenity,28481,2018-12-02
tastejs/todomvc,28472,2011-06-03
TeamNewPipe/NewPipe,28462,2015-09-03
floating-ui/floating-ui,28459,2016-03-29
jaywcjlove/linux-command,28454,2016-11-12
calcom/cal.com,28442,2021-03-22
kodecocodes/swift-algorithm-club,28432,2016-01-26
labstack/echo,28427,2015-03-01
herrbischoff/awesome-macos-command-line,28380,2015-09-22
AykutSarac/jsoncrack.com,28378,2022-01-30
vuejs/vuex,28354,2015-07-16
VincentGarreau/particles.js,28346,2014-09-06
AMAI-GmbH/AI-Expert-Roadmap,28345,2020-10-24
parallax/jsPDF,28331,2009-12-06
kubernetes/minikube,28302,2016-04-15
dromara/hutool,28277,2014-04-13
trailofbits/algo,28276,2016-05-15
kenwheeler/slick,28267,2014-03-24
veggiemonk/awesome-docker,28265,2014-09-21
codepath/android_guides,28256,2013-06-19
composer/composer,28214,2011-06-08
postcss/postcss,28172,2013-09-24
OAI/OpenAPI-Specification,28170,2014-03-03
mlabonne/llm-course,28129,2023-06-17
jashkenas/backbone,28078,2010-09-30
caolan/async,28069,2010-06-01
Ebazhanov/linkedin-skill-assessments-quizzes,28063,2019-07-13
transloadit/uppy,28059,2015-11-16
lukasz-madon/awesome-remote-job,28034,2015-01-02
jobbole/awesome-python-cn,28012,2015-11-03
mattermost/mattermost,27976,2015-06-15
facebookresearch/faiss,27937,2017-02-07
GitHubDaily/GitHubDaily,27925,2018-12-30
acheong08/ChatGPT,27912,2022-12-03
lovell/sharp,27880,2013-08-19
google/jax,27803,2018-10-25
GoogleChrome/lighthouse,27802,2016-03-08
Pythagora-io/gpt-pilot,27769,2023-08-16
hashicorp/consul,27752,2013-11-04
wuyouzhuguli/SpringAll,27744,2018-05-02
cheeriojs/cheerio,27732,2011-10-09
typst/typst,27697,2019-09-24
ZuzooVn/machine-learning-for-software-engineers,27685,2016-10-09
alibaba/canal,27678,2013-01-13
lllyasviel/ControlNet,27672,2023-02-01
influxdata/influxdb,27665,2013-09-26
open-mmlab/mmdetection,27643,2018-08-22
lobehub/lobe-chat,27626,2023-05-21
remoteintech/remote-jobs,27617,2015-10-13
alibaba/druid,27615,2011-11-03
balena-io/etcher,27605,2015-10-27
realpython/python-guide,27588,2011-03-15
pnpm/pnpm,27555,2016-01-28
ShareX/ShareX,27536,2013-10-08
zeromicro/go-zero,27525,2020-08-07
ascoders/weekly,27504,2017-03-20
v2fly/v2ray-core,27479,2019-04-15
encode/django-rest-framework,27443,2011-03-02
fabricjs/fabric.js,27389,2010-06-09
pmndrs/react-spring,27377,2018-03-07
tqdm/tqdm,27362,2015-06-03
jamiebuilds/the-super-tiny-compiler,27349,2016-03-11
facebook/rocksdb,27308,2012-11-30
ChartsOrg/Charts,27298,2015-03-20
Advanced-Frontend/Daily-Interview-Question,27259,2019-01-19
apache/kafka,27244,2011-08-15
remix-run/remix,27233,2020-10-26
jashkenas/underscore,27231,2009-10-25
AllThingsSmitty/css-protips,27227,2015-08-29
JedWatson/react-select,27217,2014-08-26
alibaba/spring-cloud-alibaba,27213,2017-12-01
mobxjs/mobx,27176,2015-03-14
Awesome-Windows/Awesome,27153,2016-05-30
nagadomi/waifu2x,27140,2015-05-17
crossoverJie/JCSprout,27070,2017-12-17
Tencent/weui,27050,2014-12-18
digitalocean/nginxconfig.io,27025,2018-01-05
YMFE/yapi,27021,2016-05-30
Homebrew/legacy-homebrew,27020,2009-05-20
penpot/penpot,27016,2015-12-29
facebook/folly,27016,2012-06-01
usememos/memos,26951,2021-12-08
lenve/vhr,26940,2018-01-04
qier222/YesPlayMusic,26922,2020-10-09
immerjs/immer,26876,2017-12-29
geekcompany/ResumeSample,26858,2014-09-08
ageron/handson-ml2,26848,2019-01-08
fzaninotto/Faker,26790,2011-10-14
chatchat-space/Langchain-Chatchat,26784,2023-03-31
wesbos/JavaScript30,26760,2016-12-07
Lightning-AI/pytorch-lightning,26758,2019-03-31
GorvGoyl/Clone-Wars,26743,2020-12-02
alpinejs/alpine,26741,2019-11-28
pbatard/rufus,26719,2011-11-19
houshanren/hangzhou_house_knowledge,26689,2018-02-24
codex-team/editor.js,26678,2015-11-28
viraptor/reverse-interview,26646,2019-09-08
Automattic/mongoose,26583,2010-04-06
angular/angular-cli,26582,2015-06-04
codemirror/codemirror5,26558,2011-01-14
milvus-io/milvus,26540,2019-09-16
docsifyjs/docsify,26523,2016-11-20
nvie/gitflow,26512,2010-01-20
rethinkdb/rethinkdb,26510,2012-10-30
ToolJet/ToolJet,26503,2021-03-30
xuxueli/xxl-job,26444,2015-11-28
donnemartin/data-science-ipython-notebooks,26432,2015-01-23
OWASP/CheatSheetSeries,26412,2018-12-21
aseprite/aseprite,26404,2014-08-19
ajaxorg/ace,26372,2010-10-27
maybe-finance/maybe,26367,2024-01-01
k3s-io/k3s,26345,2018-05-31
CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,26323,2013-01-14
GitbookIO/gitbook,26314,2014-03-31
cfenollosa/os-tutorial,26308,2014-09-29
JushBJJ/Mr.-Ranedeer-AI-Tutor,26271,2023-03-31
google/python-fire,26255,2017-02-21
microsoft/Data-Science-For-Beginners,26253,2021-03-03
numpy/numpy,26252,2010-09-13
Pierian-Data/Complete-Python-3-Bootcamp,26241,2018-02-12
linexjlin/GPTs,26234,2023-11-11
schollz/croc,26231,2017-10-17
backstage/backstage,26220,2020-01-24
facebookresearch/Detectron,26133,2017-10-05
astral-sh/ruff,26127,2022-08-09
go-kit/kit,26083,2015-02-03
statelyai/xstate,26082,2015-09-14
tj/commander.js,26055,2011-08-14
qiurunze123/miaosha,26037,2018-09-14
MonitorControl/MonitorControl,26019,2017-09-16
upscayl/upscayl,26016,2022-07-30
helm/helm,25978,2015-10-06
huiyadanli/RevokeMsgPatcher,25978,2019-07-21
OpenBB-finance/OpenBBTerminal,25978,2020-12-20
mckaywrigley/chatbot-ui,25977,2023-03-11
lutzroeder/netron,25970,2010-12-26
remy/nodemon,25966,2010-10-03
dokku/dokku,25947,2013-06-08
servo/servo,25945,2012-02-08
bvaughn/react-virtualized,25928,2015-11-03
xinntao/Real-ESRGAN,25886,2021-07-19
google/comprehensive-rust,25856,2022-12-21
pola-rs/polars,25856,2020-05-13
pmndrs/react-three-fiber,25843,2019-02-25
eugeneyan/applied-ml,25837,2020-07-04
rstacruz/nprogress,25832,2013-08-20
hashicorp/vagrant,25820,2010-01-21
JakeChampion/fetch,25801,2014-10-13
zhiwehu/Python-programming-exercises,25794,2012-06-14
mpv-player/mpv,25793,2012-10-13
MichaelCade/90DaysOfDevOps,25778,2021-12-26
select2/select2,25764,2012-03-04
vadimdemedes/ink,25740,2017-06-12
spf13/viper,25709,2014-04-02
ggreer/the_silver_searcher,25688,2011-11-19
request/request,25672,2011-01-23
LC044/WeChatMsg,25645,2023-01-11
michalsnik/aos,25632,2015-07-09
alibaba/fastjson,25626,2011-11-03
Modernizr/Modernizr,25602,2009-09-25
JakeWharton/butterknife,25570,2013-03-05
facebookresearch/fastText,25564,2016-07-16
fastai/fastai,25562,2017-09-09
cmderdev/cmder,25537,2013-07-09
dmlc/xgboost,25532,2014-02-06
dwmkerr/hacker-laws,25523,2018-01-25
swagger-api/swagger-ui,25475,2011-07-15
nextcloud/server,25467,2016-06-02
dnSpy/dnSpy,25412,2015-07-01
StevenBlack/hosts,25392,2012-04-12
mongodb/mongo,25383,2009-01-15
freqtrade/freqtrade,25366,2017-05-17
llvm/llvm-project,25363,2016-12-07
sampotts/plyr,25359,2015-02-14
coder2gwy/coder2gwy,25349,2020-12-30
gchq/CyberChef,25340,2016-11-28
google/mediapipe,25336,2019-06-13
powerline/fonts,25318,2012-12-19
directus/directus,25279,2012-12-12
sindresorhus/awesome-electron,25269,2015-04-23
zadam/trilium,25257,2017-05-23
pjreddie/darknet,25250,2014-04-11
ycm-core/YouCompleteMe,25244,2012-04-16
quasarframework/quasar,25166,2015-10-05
spipm/Depix,25165,2020-12-06
hollischuang/toBeTopJavaer,25143,2018-10-25
surrealdb/surrealdb,25102,2021-12-09
emscripten-core/emscripten,25096,2011-02-12
mbeaudru/modern-js-cheatsheet,25095,2017-09-18
ageron/handson-ml,25085,2016-02-16
terryum/awesome-deep-learning-papers,25083,2016-06-03
littlecodersh/ItChat,25028,2016-01-19
iawia002/lux,25026,2018-02-24
qianguyihao/Web,25020,2017-01-03
akveo/ngx-admin,25011,2016-05-25
nothings/stb,24984,2014-05-25
proxyee-down-org/proxyee-down,24973,2017-10-25
apache/incubator-seata,24906,2018-12-28
qbittorrent/qBittorrent,24900,2012-02-04
SDWebImage/SDWebImage,24899,2009-09-21
airbnb/lottie-ios,24897,2016-10-06
getredash/redash,24891,2013-10-28
signalapp/Signal-Android,24852,2011-12-15
deezer/spleeter,24840,2019-09-26
kataras/iris,24839,2016-01-30
vercel/turbo,24823,2021-10-05
Vision-CAIR/MiniGPT-4,24823,2023-04-15
nicolargo/glances,24811,2011-12-04
imDazui/Tvlist-awesome-m3u-m3u8,24800,2017-02-18
nylas/nylas-mail,24786,2014-10-16
haizlin/fe-interview,24770,2019-04-17
discordjs/discord.js,24756,2015-08-10
derailed/k9s,24742,2019-01-25
rollup/rollup,24738,2015-05-14
taichi-dev/taichi,24723,2016-11-24
s0md3v/roop,24712,2023-05-28
python-telegram-bot/python-telegram-bot,24671,2015-07-07
scwang90/SmartRefreshLayout,24670,2017-06-02
google-research/tuning_playbook,24640,2023-01-18
zbezj/HEU_KMS_Activator,24618,2019-06-23
greenrobot/EventBus,24575,2012-07-16
pypa/pipenv,24574,2017-01-20
dotnet-architecture/eShopOnContainers,24572,2016-10-05
tokio-rs/tokio,24559,2016-09-09
react-native-elements/react-native-elements,24555,2016-09-08
kuchin/awesome-cto,24529,2016-12-16
nsqio/nsq,24524,2012-05-12
microsoft/autogen,24481,2023-08-18
fish-shell/fish-shell,24465,2012-05-10
openfaas/faas,24463,2016-12-22
refinedev/refine,24456,2021-01-20
feathericons/feather,24447,2014-05-28
zhayujie/chatgpt-on-wechat,24437,2022-08-07
telegramdesktop/tdesktop,24400,2014-05-02
ApolloAuto/apollo,24345,2017-07-04
rxhanson/Rectangle,24330,2019-06-21
vuejs/devtools,24312,2014-09-29
datasciencemasters/go,24271,2013-08-14
withfig/autocomplete,24253,2020-09-29
matteocrippa/awesome-swift,24240,2014-07-10
Asabeneh/30-Days-Of-React,24234,2020-09-29
viatsko/awesome-vscode,24219,2016-02-07
localForage/localForage,24217,2013-10-31
eslint/eslint,24213,2013-06-29
mozilla/DeepSpeech,24178,2016-06-02
vercel/pkg,24171,2016-08-08
ReactiveX/RxSwift,24149,2015-04-07
mbadolato/iTerm2-Color-Schemes,24140,2011-04-01
mantinedev/mantine,24129,2021-01-07
ossrs/srs,24126,2015-04-29
microsoft/cascadia-code,24122,2019-07-10
tailwindlabs/headlessui,24122,2020-09-16
yeasy/docker_practice,24114,2014-09-05
openssl/openssl,24101,2013-01-15
matterport/Mask_RCNN,24097,2017-10-19
angular/components,24072,2016-01-04
OpenZeppelin/openzeppelin-contracts,24063,2016-08-01
mli/paper-reading,24059,2021-10-22
CymChad/BaseRecyclerViewAdapterHelper,24046,2016-04-10
rwaldron/idiomatic.js,24046,2011-05-25
tmrts/go-patterns,24039,2015-12-14
TanStack/table,24038,2016-10-20
utmapp/UTM,24030,2019-04-12
KRTirtho/spotube,24026,2021-02-14
mdbootstrap/mdb-ui-kit,24003,2014-08-18
sirupsen/logrus,23988,2013-10-16
YunaiV/ruoyi-vue-pro,23985,2021-01-24
lizongying/my-tv,23973,2023-12-04
iview/iview,23971,2016-07-28
hwdsl2/setup-ipsec-vpn,23944,2016-01-07
marmelab/react-admin,23942,2016-07-13
firecracker-microvm/firecracker,23941,2017-10-19
Wox-launcher/Wox,23926,2013-12-19
johnpapa/angular-styleguide,23911,2014-07-29
outline/outline,23910,2016-05-22
hammerjs/hammer.js,23909,2012-03-02
neoclide/coc.nvim,23896,2018-05-01
rome/tools,23893,2020-02-20
inconshreveable/ngrok,23884,2013-03-20
sdras/awesome-actions,23873,2018-10-17
Netflix/Hystrix,23863,2012-11-19
envoyproxy/envoy,23845,2016-08-08
svc-develop-team/so-vits-svc,23837,2023-03-10
zyedidia/micro,23836,2016-03-11
VundleVim/Vundle.vim,23809,2010-10-17
zloirock/core-js,23808,2013-07-17
makeplane/plane,23800,2022-11-19
vapor/vapor,23767,2016-01-18
charmbracelet/bubbletea,23760,2020-01-10
dimsemenov/PhotoSwipe,23739,2011-04-07
Igglybuff/awesome-piracy,23711,2018-10-09
heartcombo/devise,23702,2009-09-16
tinygrad/tinygrad,23696,2020-10-18
dragonflydb/dragonfly,23666,2021-12-11
restic/restic,23658,2014-04-27
DrKLO/Telegram,23645,2013-10-25
ueberdosis/tiptap,23633,2018-08-20
NativeScript/NativeScript,23627,2015-03-01
AvaloniaUI/Avalonia,23619,2013-12-05
gitlabhq/gitlabhq,23579,2011-10-02
VSCodium/vscodium,23572,2018-08-13
chubin/wttr.in,23567,2015-12-26
locustio/locust,23565,2011-02-17
alibaba/flutter-go,23562,2019-01-08
ramda/ramda,23560,2013-06-21
jumpserver/jumpserver,23520,2014-07-04
keon/algorithms,23516,2016-11-17
filebrowser/filebrowser,23514,2015-09-11
doczjs/docz,23499,2018-03-17
goldbergyoni/javascript-testing-best-practices,23495,2019-07-04
syl20bnr/spacemacs,23483,2012-12-17
gedoor/legado,23464,2019-05-22
kahun/awesome-sysadmin,23421,2014-02-09
Textualize/textual,23414,2021-04-08
celery/celery,23406,2009-04-24
requarks/wiki,23406,2016-08-16
pure-css/pure,23382,2013-04-22
FlowiseAI/Flowise,23344,2023-03-31
vnpy/vnpy,23315,2015-03-02
homebridge/homebridge,23310,2014-12-01
rwf2/Rocket,23307,2016-03-18
grafana/k6,23264,2016-03-21
android/architecture-components-samples,23260,2017-05-09
ogham/exa,23249,2014-05-22
reduxjs/react-redux,23232,2015-07-11
dapr/dapr,23227,2019-06-19
react-navigation/react-navigation,23222,2017-01-26
apache/skywalking,23214,2015-11-07
libuv/libuv,23196,2013-11-30
t3-oss/create-t3-app,23170,2022-05-24
github/copilot-docs,23159,2021-10-23
fyne-io/fyne,23158,2018-02-04
MostlyAdequate/mostly-adequate-guide,23147,2015-05-06
elixir-lang/elixir,23142,2011-01-09
ai/nanoid,23122,2017-08-05
eriklindernoren/ML-From-Scratch,23120,2017-02-05
apache/flink,23114,2014-06-07
StreisandEffect/streisand,23108,2014-03-23
flameshot-org/flameshot,23089,2017-05-10
changkun/modern-cpp-tutorial,23045,2016-08-19
element-plus/element-plus,23020,2020-07-21
highlightjs/highlight.js,23015,2011-01-01
