name_with_owner,stars,created_at,releases,loc,cbo,dit,lcom
datahub-project/datahub,9075,2015-11-18,82,104423,24291,2620,37944
GcsSloop/AndroidNote,9061,2016-01-04,0,402,39,11,65
ssssssss-team/spider-flow,8958,2020-03-27,2,8748,867,279,3273
huanghaibin-dev/CalendarView,8936,2017-03-11,0,11557,1156,380,9360
cats-oss/android-gpuimage,8871,2012-10-04,0,6341,453,330,1729
laobie/StatusBarUtil,8825,2016-02-15,0,1036,137,51,744
signalapp/Signal-Server,8792,2013-12-09,0,48252,8981,1462,16747
firebase/quickstart-android,8700,2016-04-26,0,6665,1203,319,986
zfile-dev/zfile,8677,2019-08-19,61,6839,1900,428,1390
Freelander/Android_Data,8674,2015-04-04,0,116,4,2,6
chrisjenx/Calligraphy,8589,2013-12-20,4,968,143,36,284
ybq/Android-SpinKit,8562,2016-03-20,0,1812,342,225,1528
json-path/JsonPath,8555,2011-01-24,10,16468,1677,547,10779
junit-team/junit4,8496,2009-01-13,13,32945,5690,2154,19066
flowable/flowable-engine,7274,2016-10-13,26,503344,58377,14916,1326466
abel533/Mapper,7247,2014-11-21,5,18016,2207,551,13923
cymcsg/UltimateRecyclerView,7228,2015-01-28,9,16083,1992,647,15812
Qihoo360/RePlugin,7221,2017-06-08,18,29883,2348,644,14451
geeeeeeeeek/WeChatLuckyMoney,7197,2015-09-30,20,931,113,29,185
frohoff/ysoserial,7189,2015-01-28,1,3851,655,161,1067
alibaba/transmittable-thread-local,7140,2013-10-13,58,6932,866,222,1915
lenve/VBlog,7122,2017-12-26,0,781,132,30,843
apache/seatunnel,7121,2017-08-05,44,136755,20740,4247,44539
Exrick/xmall,7092,2017-07-28,0,45293,1362,367,199974
Graylog2/graylog2-server,7007,2010-05-17,0,216883,51817,8688,116549
real-logic/aeron,7004,2014-02-07,95,107384,8896,1549,127020
NLPchina/elasticsearch-sql,6956,2014-08-24,225,27552,1826,203,51800
naman14/Timber,6955,2015-06-12,5,21819,2446,662,8946
hongyangAndroid/okhttputils,6883,2015-08-17,0,1961,261,102,434
DroidPluginTeam/DroidPlugin,6861,2015-08-27,2,22301,2595,3449,2908
mapstruct/mapstruct,6741,2012-05-28,29,89896,16452,5090,46522
Meituan-Dianping/walle,6699,2017-01-10,1,4633,296,112,817
didi/KnowStreaming,6693,2020-03-19,23,31517,6721,1699,9641
google/error-prone,6692,2014-08-21,38,122853,24995,6428,92758
hongyangAndroid/AndroidAutoLayout,6684,2015-11-19,0,2370,455,156,687
rest-assured/rest-assured,6678,2010-10-21,0,28508,3679,843,74814
markzhai/AndroidPerformanceMonitor,6619,2016-01-17,0,2234,220,69,760
MinecraftForge/MinecraftForge,6615,2012-01-30,0,61328,10989,3564,53212
microg/GmsCore,6600,2014-04-23,32,48570,8964,2835,22402
mrniko/netty-socketio,6595,2012-01-12,16,6188,837,213,5193
zouzg/mybatis-generator-gui,6587,2016-05-08,16,3047,280,58,2728
GrenderG/Toasty,6549,2017-01-18,19,487,65,17,906
cabaletta/baritone,6519,2018-08-01,77,22056,3127,644,10340
rabbitmq/rabbitmq-tutorials,6516,2010-09-21,0,1343,198,43,110
h2pl/JavaTutorial,6480,2018-05-01,1,14,1,3,1
processing/processing,6441,2013-01-24,48,109671,3440,1514,468188
vinc3m1/RoundedImageView,6435,2013-02-22,19,1265,126,27,1612
PowerJob/PowerJob,6393,2020-03-16,48,20593,3515,728,3245
ArthurHub/Android-Image-Cropper,6368,2015-01-15,32,4655,309,55,2815
527515025/springBoot,6327,2016-11-07,0,6250,1343,303,4091
gzu-liyujiang/AndroidPicker,6289,2015-10-21,56,13198,1281,388,12285
ximsfei/Android-skin-support,6285,2017-01-12,0,19377,2462,564,7157
Meituan-Dianping/Leaf,6256,2018-12-11,0,1305,139,57,450
sshahine/JFoenix,6236,2015-09-08,0,24546,2941,690,9386
aa112901/remusic,6211,2016-03-24,0,47786,4383,1228,35191
wasabeef/richeditor-android,6182,2015-03-30,0,804,104,49,2019
ityouknow/spring-cloud-examples,6176,2017-04-28,0,390,230,61,28
HMCL-dev/HMCL,6170,2015-06-22,202,61248,7002,1758,40189
getActivity/AndroidProject,6158,2018-10-23,17,20468,2583,767,6868
joelittlejohn/jsonschema2pojo,6136,2013-06-22,62,14399,1832,311,20923
ikew0ng/SwipeBackLayout,6127,2013-08-25,0,1635,94,25,1104
macrozheng/springcloud-learning,6121,2019-09-07,0,1976,942,203,272
junit-team/junit5,6112,2015-01-11,66,82718,12370,3777,106882
rengwuxian/MaterialEditText,6111,2014-10-30,19,3385,147,34,19314
conductor-oss/conductor,6092,2023-12-08,3,60362,6255,1051,65262
fuzhengwei/itstack-demo-design,6087,2020-05-20,0,3992,466,238,1145
lightbend/config,6080,2011-12-06,1,13186,1095,411,15236
daimajia/NumberProgressBar,6066,2014-05-01,3,380,19,8,551
amitshekhariitbhu/from-java-to-kotlin,6056,2017-05-21,0,37,1,2,0
pedrovgs/EffectiveAndroidUI,6033,2014-07-04,0,1923,324,98,848
wiremock/wiremock,6031,2011-10-09,33,47673,6869,1621,83074
rey5137/material,6019,2014-12-09,10,27346,1986,502,16621
graphql-java/graphql-java,6018,2015-07-06,75,63993,10257,1768,40944
singwhatiwanna/dynamic-load-apk,6016,2014-03-30,0,2620,360,90,584
google/physical-web,6007,2014-09-30,17,7481,747,201,4167
google/grafika,5985,2013-12-19,1,10035,660,180,710
raphw/byte-buddy,5957,2013-11-25,275,276037,36626,9667,89507
antoniolg/androidmvp,5944,2014-04-02,0,274,46,18,42
prolificinteractive/material-calendarview,5910,2015-02-09,22,3658,568,135,6073
haifengl/smile,5901,2014-11-20,26,101890,7338,1836,138481
springfox/springfox,5896,2012-05-06,12,32115,6478,1273,26415
weibocom/motan,5866,2016-04-20,24,43397,4682,1146,26401
Nightonke/BoomMenu,5803,2016-03-19,0,7710,648,181,26182
jeremylong/DependencyCheck,5795,2012-09-03,68,40309,3354,916,37268
confluentinc/ksql,5792,2016-09-27,8,206558,34594,5305,108822
robolectric/robolectric,5782,2010-08-28,98,207309,21387,5109,284376
Devlight/InfiniteCycleViewPager,5762,2016-08-22,2,3564,207,67,4204
yarolegovich/DiscreteScrollView,5742,2017-03-03,2,3698,444,131,2007
Vedenin/useful-java-links,5736,2016-02-13,0,5967,606,269,482
hibernate/hibernate-orm,5719,2010-10-04,31,952150,148043,31758,1520569
dmytrodanylyk/circular-progress-button,5703,2014-06-07,3,1429,155,50,988
btraceio/btrace,5695,2014-08-28,31,39718,3733,1000,76592
k0shk0sh/FastHub,5694,2017-02-18,63,40321,7541,1343,32463
jpush/aurora-imui,5692,2016-12-13,42,17788,1643,523,17192
JakeWharton/u2020,5681,2013-11-14,0,4806,833,191,3165
apache/incubator-kie-drools,5667,2011-02-18,4,749998,74882,18105,687691
gephi/gephi,5647,2011-10-22,19,125187,10674,3974,58620
amitshekhariitbhu/Fast-Android-Networking,5645,2016-03-21,8,19596,1851,719,7917
daimajia/AndroidImageSlider,5639,2014-06-02,5,3813,256,99,3723
amlcurran/ShowcaseView,5595,2012-08-14,13,2086,350,91,1158
hanks-zyh/HTextView,5591,2015-12-19,0,3076,382,142,317
hongyangAndroid/FlowLayout,5584,2015-08-28,0,810,147,48,170
kestra-io/kestra,5584,2019-08-24,64,36370,9399,1707,11744
LSPosed/LSPatch,5574,2021-03-01,9,7008,634,197,3486
nhaarman/ListViewAnimations,5572,2013-03-19,14,5697,887,282,1433
crazycodeboy/react-native-splash-screen,5557,2016-09-14,12,246,41,15,24
alipay/SoloPi,5556,2019-03-14,8,56327,5409,1411,15369
gz-yami/mall4cloud,5546,2021-08-04,4,19166,2928,617,25859
wasabeef/Blurry,5536,2015-07-23,0,636,72,14,9
ffay/lanproxy,5508,2016-11-20,1,2668,267,75,517
sockeqwe/mosby,5494,2015-03-25,15,17138,3562,1067,6380
AriaLyy/Aria,5485,2016-02-19,26,42723,4524,1234,33708
dm77/barcodescanner,5454,2014-02-24,6,2796,386,120,863
HMCL-dev/HMCL,6170,2015-06-22,202,61248,7002,1758,40189
joelittlejohn/jsonschema2pojo,6136,2013-06-22,62,14399,1832,311,20923
ikew0ng/SwipeBackLayout,6127,2013-08-25,0,1635,94,25,1104
macrozheng/springcloud-learning,6121,2019-09-07,0,1976,942,203,272
