number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
3471,2016-10-14T21:55:05Z,2016-10-15T21:49:35Z,2016-10-15T21:49:35Z,2,211,112,"This only applies when intersect: false is in the tooltip options. @simonbrunel noticed this behaviour. I added a test to ensure that the horizontal distance is what applies.
One question ... what do we do for horizontal bar charts? In that case we want to use the y direction. @chartjs/maintainers thoughts on this?",2,0
3472,2016-10-15T21:49:02Z,2016-10-19T11:30:42Z,2016-10-19T11:30:42Z,3,54,39,"Useful for custom tooltips and requested in #2944 and #2636
The new properties are caretX and caretY. Together, these identify the point on the graph where the tip of the caret of the tooltip would be. Essentially this is the raw position of the tooltip before any alignment is considered.
The custom tooltip sample was updated as well to use the new properties.",3,1
3473,2016-10-15T22:16:34Z,2016-10-16T21:34:59Z,2016-10-16T21:34:59Z,27,518,443,Adds eslint rules for test files so that they follow the same standards as source files which helps to increase overall code style,3,3
3474,2016-10-15T22:22:28Z,2016-10-16T13:25:13Z,2016-10-16T13:25:13Z,6,185,57,"Add support for creating a chart from the canvas id and prevent exceptions, at construction time, when the given item doesn't provide a valid CanvasRenderingContext2D or when the getContext API is not accessible (e.g. undefined by add-ons to prevent fingerprinting). New jasmine matcher to verify chart validity.
Enhances #2807
Replaces #3303",2,0
3476,2016-10-16T01:40:34Z,2016-10-17T21:59:47Z,2016-10-17T21:59:47Z,4,193,25,"You can now add padding inside the chart. This helps with charts that don't have displayed scales, etc. Padding can be specified for all sides of the chart (left, top, right, and bottom).
Configuration
This adds the same padding on all sides
options: {
  layout: {
    padding: 10
  }
}
This version allows different padding on each side
options: {
  layout: {
    padding: {
      // Any unspecified dimensions are assumed to be 0
      left: 10,
      top: 5
    }
  }
}
Fixes #3332, #3257
Replaces #3349",3,1
3477,2016-10-16T13:28:34Z,2016-10-17T11:40:30Z,2016-10-17T11:40:30Z,3,56,0,"With this PR, you can now reset the chart to it's state before the initial animation takes place. Fixes #235
chart.reset();",3,0
3494,2016-10-21T01:50:15Z,2016-10-23T21:33:08Z,2016-10-23T21:33:09Z,3,80,0,"Adds a function, itemFilter to the tooltip config. If this function is specified, it is used to filter the items that show in the tooltip.
I added a test to cover this case.
Fixes #1889",3,3
3504,2016-10-23T03:21:39Z,2016-10-23T21:33:25Z,2016-10-23T21:33:25Z,66,3704,3575,"I added a new helper, samples/chartColors.js that defines the colors that match the docs. I updated all of the samples to use these colours.
I improved sample organization, with common samples grouped into folders. I added new samples that allow comparing different settings. For example, samples/tooltips/interaction-modes.html creates a number of charts that allow the user to compare the different interaction mode settings.",2,2
3509,2016-10-25T03:31:49Z,2016-10-25T22:28:13Z,2016-10-25T22:28:13Z,1,1,0,Adding a single line to the docs to document autoSkipPadding.,3,0
3514,2016-10-25T21:44:03Z,2016-11-26T17:58:49Z,2016-11-26T17:58:49Z,5,35,2,"Hello! This adds a new point style, rectRounded, and updates the docs that mention the valid values of pointStyle.",5,6
3526,2016-10-29T10:22:15Z,2016-10-29T16:40:27Z,2016-10-29T16:40:27Z,2,2,1,"Code Climate builds are broken since the ESLint rules update (#3308) because CC (with no explicit channel config) is currently based on ESLint version 1.10.3 which doesn't support some of the introduced rules (e.g. extended no-console, func-names, etc.)",2,1
3527,2016-10-29T16:47:55Z,2016-10-31T07:47:28Z,2016-10-31T07:47:28Z,2,100,22,"When the iframe is attached to the DOM, its content is reloaded (invaliding the resize listener) so make sure to install the handler after the iframe is loaded. Optimize resize events by throttling resize process until the next animation frame. Rewrite the unit test ""waitForResize"" method, the previous one (timeout) was too weak and most tests was failing on FF.
Fixes #3521",2,0
3529,2016-10-30T15:06:01Z,2016-10-30T21:58:40Z,2016-10-30T21:58:40Z,2,22,2,"When an event triggers an update while the bufferedUpdate state is true, we need to do that render with priority over any other renders that take place for animations and tooltips.
@simonbrunel this fixes the animation issue you noticed.",2,1
3531,2016-10-31T01:22:26Z,2016-11-19T14:29:15Z,2016-11-19T14:29:15Z,3,7,3,"created fix for #3528.
Display the correct tooltip Label when datasets data[] array contains null values.",3,3
3551,2016-11-04T20:46:58Z,2016-11-12T17:53:27Z,2016-11-12T17:53:27Z,135,9426,5398,"Milestone: 2.4.0
Merged PRs: 47
Checklist:

 Draft the release notes
 Update package.json version
 Publish the documentation (@nnnick)
 Fix #3561
 Fix #3575

See the release process for details.
cc @chartjs/maintainers",13,0
3552,2016-11-04T22:42:00Z,2016-11-05T12:19:07Z,2016-11-05T12:19:07Z,3,268,2,The tooltip 'X' and 'Y' interaction modes now use the intersect setting. I added tests covering these modes and the use of the setting. I updated the interaction modes setting accordingly.,2,0
3553,2016-11-05T00:43:51Z,2016-11-20T16:52:08Z,2016-11-20T16:52:08Z,11,107,110,"To correctly fix the issue, the default padding was changed from 0 to 10. This change caused all of the test changes since the width of a vertical scale was lowered by 10px.
After Fix

Fixes #3141",2,1
3554,2016-11-05T01:32:11Z,2016-11-20T18:49:44Z,2016-11-20T18:49:44Z,1,1,9,"Don't arbitrarily force the size to change.
Fixes #3412
We should merge #3553 and #3508 first then I will update the tests because there will be merge conflicts.",2,0
3555,2016-11-05T12:03:52Z,,2017-01-15T17:47:42Z,1,1,1,"Thank you for creating chart.js, this fixes issue #3525.",3,8
3563,2016-11-07T13:28:39Z,2017-01-01T14:36:01Z,2017-01-01T14:36:02Z,6,1045,123,"Code changes, documentation update and sample for #2643.
JSFiddle: https://jsfiddle.net/Lvj2qnrp/1/
(same as samples/bar/bar-stacked-group.html)",9,33
3565,2016-11-08T02:19:27Z,2016-12-02T12:56:54Z,2016-12-02T12:56:54Z,1,99,109,"This essentially fixes the issues of #2879 and #3354 but more testing is needed and this code needs some cleanup. I also don't think the current code works in all cases. When offsetGridlines is true, I think padding can be incorrectly calculated on the left and right sides
We should not merge this until #3508, #3553, and #3554 are merged",2,2
3566,2016-11-08T02:49:37Z,2016-11-12T23:48:26Z,2016-11-12T23:48:26Z,3,78,2,"This PR adds a new legend option for filtering items out of the chart legend.
options: {
  legend: {
    labels: {
      filter: function(legendItem, chartData) {
        // return false to hide the label
      }
    }
  }
}
Resolves #3189",4,1
3569,2016-11-08T04:58:02Z,2016-11-18T12:35:31Z,2016-11-18T12:35:31Z,1,1,1,labelOpts.padding is added to the y location when creating the first column. This fix also adds padding when a subsequent column is created in the legend.,3,0
3576,2016-11-10T00:54:05Z,2016-11-13T13:16:40Z,2016-11-13T13:16:40Z,1,0,10,Fixes #3570,2,0
3584,2016-11-11T19:00:08Z,2016-11-11T23:10:19Z,2016-11-11T23:10:19Z,4,77,21,"The retinaScale helper now enforces the display size to the correct values because if no style has been set on the canvas, the render size is used as display size, making the chart bigger (or smaller) when deviceAspectRatio is different of 1.
New unit tests:

Fixes #3575",2,0
3587,2016-11-13T03:41:23Z,2016-11-25T12:20:00Z,2016-11-25T12:20:00Z,6,251,23,"The user can now call updateConfig(partialConfig) to update the config of a chart.
The following is currently supported

updating options
changing axis types
updating plugin options

The following is not currently supported

changing the chart type

Resolves #2060",4,3
3595,2016-11-14T01:56:31Z,2016-11-14T12:27:02Z,2016-11-14T12:27:02Z,2,2,2,Fixes #3591,2,0
3597,2016-11-14T15:37:01Z,,2016-11-15T14:49:39Z,1,1,1,"The Display Formats anchor link for Scales was broken. To fix, I modified the header level of the display formats section to generate a link.",2,0
3607,2016-11-16T09:57:01Z,2016-11-16T12:21:44Z,2016-11-16T12:21:44Z,1,1,1,This fixes a link for progress-bar.html.,3,0
3610,2016-11-16T21:25:40Z,2016-11-17T09:29:36Z,2016-11-17T09:29:36Z,1,5,4,"Several plugins were recently renamed.
Adds a new plugin: https://github.com/compwright/chartjs-plugin-draggable",2,1
3620,2016-11-18T03:22:47Z,2016-11-28T23:29:56Z,2016-11-28T23:29:56Z,4,154,0,"As title states, create a fix for #3618.
summary of changes:

Created a new helper method to map index into sliced array when min is defined
Added test for helper method
Added integration test to trigger element to ensure correct index",3,1
3625,2016-11-20T04:07:59Z,2016-11-25T12:19:43Z,2016-11-25T12:19:43Z,4,318,221,"A lot of cleanup of the radial scale. I moved a lot of functionality into private functions.
Issues Fixed

When the scale was user for the polar area graph, the scale didn't use the full available area because it tried to fit the point labels (used for radar chart) even though non existed.
The point labels can now have multiple lines of text. Resolves #3225


Testing Done

Unit tests run
Tested the polar area and radar charts manually

Changed Behaviour

the getIndexAngle method no longer subtracts 90 degrees since we added it back almost all of the time.",2,2
3647,2016-11-26T17:34:35Z,2016-11-28T23:28:06Z,2016-11-28T23:28:06Z,2,18,3,"When two adjacent points in a line were at the same X value the monotone cubic interpolation would break because the differential slope would be NaN. This change adds logic to detect this and correctly set the deltaK property.
Resolves #3408
Testing
I updated the unit test to test this case. I manually tested that the fiddle from the bug is solved including in cases where the points at the same X are at different Y values
Before

After

Testing with 2nd point above first one but at the same X

Testing with 2nd point below the second one but at the same X",2,0
